Datum + Uhrzeit,Durchfluss Zähler Fernwärme (m³/h),Durchfluss Wasserzähler TWE (m³/h),Durchfluss m³ Zähler Zirkulation (m³/h)
19.12.2024 14:30,"2,02",0,"0,6"
19.12.2024 14:35,"1,94",0,"0,6"
19.12.2024 14:40,"1,99",0,"0,6"
19.12.2024 14:45,"1,97",0,"0,6"
19.12.2024 14:50,"2,09",0,"0,61"
19.12.2024 14:55,"2,09",0,"0,6"
19.12.2024 15:00,"2,26",0,"0,6"
19.12.2024 15:05,"2,47",0,"0,6"
19.12.2024 15:10,"2,45",0,"0,6"
19.12.2024 15:15,"2,5",0,"0,6"
19.12.2024 15:20,"2,47",0,"0,61"
19.12.2024 15:25,"4,22",0,"0,61"
19.12.2024 15:30,"4,32",0,"0,61"
19.12.2024 15:35,"4,87",0,"0,61"
19.12.2024 15:40,"5,01",0,"0,61"
19.12.2024 15:45,"5,01",0,"0,6"
19.12.2024 15:50,"3,98",0,"0,6"
19.12.2024 15:55,3,0,"0,6"
19.12.2024 16:00,"2,59",0,"0,6"
19.12.2024 16:05,"2,33",0,"0,6"
19.12.2024 16:10,"2,2",0,"0,6"
19.12.2024 16:15,"2,21",0,"0,6"
19.12.2024 16:20,"2,18",0,"0,6"
19.12.2024 16:25,"2,26",0,"0,6"
19.12.2024 16:30,"2,39",0,"0,6"
19.12.2024 16:35,"2,42",0,"0,6"
19.12.2024 16:40,"2,63",0,"0,6"
19.12.2024 16:45,"2,59",0,"0,61"
19.12.2024 16:50,"2,74",0,"0,61"
19.12.2024 16:55,"2,71",0,"0,6"
19.12.2024 17:00,"2,72",0,"0,61"
19.12.2024 17:05,"2,6",0,"0,6"
19.12.2024 17:10,"2,54",0,"0,6"
19.12.2024 17:15,"2,55",0,"0,6"
19.12.2024 17:20,"4,52",0,"0,6"
19.12.2024 17:25,"4,97",0,"0,6"
19.12.2024 17:30,"5,1",0,"0,61"
19.12.2024 17:35,"5,01",0,"0,6"
19.12.2024 17:40,"4,12",0,"0,59"
19.12.2024 17:45,"2,9",0,"0,61"
19.12.2024 17:50,"2,28",0,"0,6"
19.12.2024 17:55,"2,23",0,"0,6"
19.12.2024 18:00,"2,27",0,"0,6"
19.12.2024 18:05,"2,38",0,"0,6"
19.12.2024 18:10,"2,57",0,"0,61"
19.12.2024 18:15,"2,73",0,"0,6"
19.12.2024 18:20,"2,79",0,"0,6"
19.12.2024 18:25,"2,88",0,"0,59"
19.12.2024 18:30,"2,78",0,"0,59"
19.12.2024 18:35,"2,64",0,"0,6"
19.12.2024 18:40,"2,52",0,"0,6"
19.12.2024 18:45,"2,52",0,"0,6"
19.12.2024 18:50,"4,39",0,"0,6"
19.12.2024 18:55,"4,85",0,"0,59"
19.12.2024 19:00,"5,06",0,"0,6"
19.12.2024 19:05,"4,01",0,"0,6"
19.12.2024 19:10,"3,58",0,"0,61"
19.12.2024 19:15,"3,22",0,"0,6"
19.12.2024 19:20,"2,9",0,"0,6"
19.12.2024 19:25,"2,71",0,"0,6"
19.12.2024 19:30,"2,47",0,"0,6"
19.12.2024 19:35,"2,42",0,"0,6"
19.12.2024 19:40,"2,52",0,"0,61"
19.12.2024 19:45,"2,57",0,"0,61"
19.12.2024 19:50,"2,57",0,"0,6"
19.12.2024 19:55,"2,78",0,"0,59"
19.12.2024 20:00,"2,88",0,"0,6"
19.12.2024 20:05,"2,94",0,"0,6"
19.12.2024 20:10,"2,81",0,"0,61"
19.12.2024 20:15,"2,76",0,"0,6"
19.12.2024 20:20,"4,37",0,"0,6"
19.12.2024 20:25,"4,71",0,"0,6"
19.12.2024 20:30,"4,94",0,"0,6"
19.12.2024 20:35,"5,04",0,"0,6"
19.12.2024 20:40,"4,1",0,"0,6"
19.12.2024 20:45,"3,58",0,"0,61"
19.12.2024 20:50,"3,01",0,"0,61"
19.12.2024 20:55,"2,48",0,"0,6"
19.12.2024 21:00,"2,39",0,"0,6"
19.12.2024 21:05,"2,33",0,"0,6"
19.12.2024 21:10,"2,35",0,"0,6"
19.12.2024 21:15,"2,43",0,"0,6"
19.12.2024 21:20,"2,51",0,"0,6"
19.12.2024 21:25,"2,54",0,"0,6"
19.12.2024 21:30,"2,54",0,"0,6"
19.12.2024 21:35,"2,52",0,"0,6"
19.12.2024 21:40,"2,45",0,"0,6"
19.12.2024 21:45,"2,45",0,"0,6"
19.12.2024 21:50,"2,42",0,"0,6"
19.12.2024 21:55,"4,92",0,"0,6"
19.12.2024 22:00,"4,23",0,"0,6"
19.12.2024 22:05,"4,61",0,"0,6"
19.12.2024 22:10,"4,94",0,"0,6"
19.12.2024 22:15,"3,86",0,"0,6"
19.12.2024 22:20,"3,24",0,"0,6"
19.12.2024 22:25,"2,71",0,"0,61"
19.12.2024 22:30,"2,38",0,"0,6"
19.12.2024 22:35,"2,3",0,"0,61"
19.12.2024 22:40,"2,16",0,"0,6"
19.12.2024 22:45,"2,16",0,"0,6"
19.12.2024 22:50,"2,14",0,"0,6"
19.12.2024 22:55,"2,18",0,"0,6"
19.12.2024 23:00,"2,21",0,"0,6"
19.12.2024 23:05,"2,28",0,"0,6"
19.12.2024 23:10,"2,26",0,"0,6"
19.12.2024 23:15,"2,4",0,"0,6"
19.12.2024 23:20,"2,4",0,"0,6"
19.12.2024 23:25,"2,42",0,"0,6"
19.12.2024 23:30,"4,13",0,"0,61"
19.12.2024 23:35,"4,44",0,"0,6"
19.12.2024 23:40,"4,75",0,"0,6"
19.12.2024 23:45,"4,94",0,"0,6"
19.12.2024 23:50,"3,78",0,"0,61"
19.12.2024 23:55,"3,19",0,"0,6"
20.12.2024 00:00,"2,93",0,"0,6"
20.12.2024 00:05,"2,7",0,"0,6"
20.12.2024 00:10,"2,37",0,"0,6"
20.12.2024 00:15,"2,23",0,"0,6"
20.12.2024 00:20,"2,28",0,"0,6"
20.12.2024 00:25,"2,23",0,"0,6"
20.12.2024 00:30,"2,23",0,"0,61"
20.12.2024 00:35,"2,16",0,"0,6"
20.12.2024 00:40,"2,16",0,"0,6"
20.12.2024 00:45,"2,12",0,"0,6"
20.12.2024 00:50,"2,13",0,"0,6"
20.12.2024 00:55,"2,11",0,"0,6"
20.12.2024 01:00,"2,14",0,"0,6"
20.12.2024 01:05,"2,17",0,"0,6"
20.12.2024 01:10,0,0,"0,61"
20.12.2024 01:15,0,0,"0,6"
20.12.2024 01:20,"4,16",0,"0,61"
20.12.2024 01:25,"4,08",0,"0,6"
20.12.2024 01:30,"4,12",0,"0,6"
